song_artist,Song,Artist,break_start,break_end,break_year,break_decade,Rank,total_weeks,cons_weeks,break_duration_days,break_duration_weeks,break_duration_months,break_duration_years,multi_break,Rule,Sub_rule,Description,Link
"Courtesy Of The Red, White And Blue (The Angry American) | Toby Keith","""Courtesy Of The Red, White And Blue (The Angry American)""",Toby Keith,2002-10-16,2025-07-16,2025,20s,83,20,20,8309,1187,273.0,22.0,No,Performance,Super Bowl,Performed at Super Bowl halftime LIX that Kendrick Lamar headlined.,
La Cancion | J Balvin & Bad Bunny,La Cancion,J Balvin & Bad Bunny,2019-12-11,2026-02-18,2026,20s,100,8,4,2261,323,74.0,6.0,Yes,Performance,Super Bowl,Was not performed at Super Bowl halftime LX but was the songs that alongside with other Bad Bunny's songs occupied all of the 25 spots on the Billboard's Latin Streaming Songs Chart.,
Baby | Justin Bieber Featuring Ludacris,Baby,Justin Bieber Featuring Ludacris,2010-06-16,2026-04-22,2026,20s,52,20,20,5789,827,190.0,15.0,No,Performance,Coachella,"Following the (in)famous performance at this year's Coachella, three of the Bieber's songs released more than a decade ago got back into Hot 100 thanks to the new wave of streams.",https://www.billboard.com/music/chart-beat/justin-bieber-catalog-surges-streams-2026-coachella-hot-100-1236227674/
Beauty And A Beat | Justin Bieber Featuring Nicki Minaj,Beauty And A Beat,Justin Bieber Featuring Nicki Minaj,2013-04-03,2026-04-22,2026,20s,44,24,23,4767,681,156.0,13.0,Yes,Performance,Coachella,"Following the (in)famous performance at this year's Coachella, three of the Bieber's songs released more than a decade ago got back into Hot 100 thanks to the new wave of streams.",https://www.billboard.com/music/chart-beat/justin-bieber-catalog-surges-streams-2026-coachella-hot-100-1236227674/
Confident | Justin Bieber Featuring Chance the Rapper,Confident,Justin Bieber Featuring Chance the Rapper,2014-02-19,2026-04-29,2026,20s,84,3,2,4452,636,146.0,12.0,Yes,Performance,Coachella,"Following the (in)famous performance at this year's Coachella, three of the Bieber's songs released more than a decade ago got back into Hot 100 thanks to the new wave of streams.",https://www.billboard.com/music/chart-beat/justin-bieber-catalog-surges-streams-2026-coachella-hot-100-1236227674/
Come Rain Or Come Shine | Ray Charles,Come Rain Or Come Shine,Ray Charles,1960-11-30,1968-01-17,1968,60s,83,2,2,2604,372,85.0,7.0,No,Re-release,Re-release,,
Monster Mash | Bobby Boris Pickett And The Crypt-Kickers,Monster Mash,"Bobby ""Boris"" Pickett And The Crypt-Kickers",1962-12-05,1970-08-26,1970,70s,59,14,14,2821,403,92.0,7.0,Yes,Re-release,Re-release,,
Help The Poor | B.B. King,Help The Poor,B.B. King,1964-07-01,1971-06-09,1971,70s,98,2,2,2534,362,83.0,6.0,No,Re-release,Re-release,,
"They're Coming To Take Me Away, Ha-Haaa! | Napoleon XIV","""They're Coming To Take Me Away, Ha-Haaa!""",Napoleon XIV,1966-08-24,1973-08-29,1973,70s,37,6,6,2562,366,84.0,7.0,No,Re-release,Re-release,Was re-released by Warner Bros. Records,
Last Kiss | J. Frank Wilson and The Cavaliers,Last Kiss,J. Frank Wilson and The Cavaliers,1964-12-09,1973-12-19,1973,70s,35,15,15,3297,471,108.0,9.0,No,Re-release,Re-release,Was re-released due to the popularity of the cover done by the Canadian group Wednesday.,
Surfin' U.S.A. | The Beach Boys,Surfin' U.S.A.,The Beach Boys,1963-07-10,1974-08-14,1974,70s,45,17,17,4053,579,133.0,11.0,No,Re-release,Re-release,"Was re-released in the U.S. as a single in July 1974 backed with ""The Warmth of the Sun"".",
Breaking Up Is Hard To Do | Neil Sedaka,Breaking Up Is Hard To Do,Neil Sedaka,1962-09-26,1975-12-10,1975,70s,43,14,14,4823,689,158.0,13.0,No,Re-release,Re-release,Was re-released to stage an artistic comeback.,
Venus | Frankie Avalon,Venus,Frankie Avalon,1959-05-27,1976-01-21,1976,70s,89,17,17,6083,869,199.0,16.0,No,Re-release,Re-release,Was re-released as a disco version to revive the artist's career.,
Lola | The Kinks,Lola,The Kinks,1970-11-25,1980-08-27,1980,80s,36,14,14,3563,509,117.0,9.0,No,Re-release,Re-release,A live version of the song was re-released as a single to promote a live album.,
Guitar Man | Elvis Presley,Guitar Man,Elvis Presley,1968-02-28,1981-01-21,1981,80s,43,6,6,4711,673,154.0,12.0,No,Re-release,Re-release,After Presley's death hig produced re-did and re-release 10 songs as an album.,
Solsbury Hill | Peter Gabriel,Solsbury Hill,Peter Gabriel,1977-05-25,1983-08-24,1983,80s,74,5,5,2282,326,74.0,6.0,No,Re-release,Re-release,A live version was released as a single.,
Daydream Believer | The Monkees,Daydream Believer,The Monkees,1968-01-31,1986-10-29,1986,80s,24,12,12,6846,978,224.0,18.0,No,Re-release,Re-release,,
What About Me | Moving Pictures,What About Me,Moving Pictures,1983-03-09,1989-08-09,1989,80s,95,26,26,2345,335,77.0,6.0,No,Re-release,Re-release,,
Fool For Your Loving | Whitesnake,Fool For Your Loving,Whitesnake,1980-09-17,1989-11-01,1989,80s,99,8,8,3332,476,109.0,9.0,No,Re-release,Re-release,,
I Melt With You | Modern English,I Melt With You,Modern English,1983-05-11,1990-06-20,1990,90s,98,7,7,2597,371,85.0,7.0,No,Re-release,Re-release,Was re-recorded for the band's 1990 album Pillow Lips.,
We Are The Champions | Queen,We Are The Champions,Queen,1978-04-19,1992-07-08,1992,90s,91,27,27,5194,742,170.0,14.0,No,Re-release,Re-release,The streets are saying that the band decided to re-release the song after New Jersey 8th graders requested it some much on the radio after their principal prohibited it from playing at the graduation.,
Lights | Journey,Lights,Journey,1978-11-01,1993-01-13,1993,90s,77,10,4,5187,741,170.0,14.0,Yes,Re-release,Re-release,The live version of the song was released on the band's career overview album Time³.,
The Star Spangled Banner | Whitney Houston,The Star Spangled Banner,Whitney Houston,1991-05-15,2001-09-26,2001,00s,98,11,11,3787,541,124.0,10.0,No,Re-release,Re-release,"Following the events of 9/11, Whitney re-released the song as a single.",
Blank Space | Taylor Swift,Blank Space,Taylor Swift,2015-07-15,2023-08-16,2023,20s,50,36,36,2954,422,97.0,8.0,No,Re-release,Re-release,Swift re-recorded and re-released her past albums following the legal dispute over the ownership of the master's of her songs.,
All I Want For Christmas Is You | Mariah Carey,All I Want For Christmas Is You,Mariah Carey,2000-01-05,2012-12-19,2012,10s,83,1,1,4732,676,155.0,12.0,Yes,Rule change,Christmas,"Even though this song looks like the best candidate for the ""Holiday"" reasoning category. However, this particular return from break happened due to the chart rules change. In 2012 Billboard allowed tracks that previously charted well and met other criteria.",
Rockin' Around The Christmas Tree | Brenda Lee,Rockin' Around The Christmas Tree,Brenda Lee,1962-12-26,2014-01-01,2014,10s,59,11,3,18634,2662,612.0,51.0,Yes,Rule change,Christmas,"Even though this song, just like ""All I Want for Christmas Is You"" seems like the best fit for the ""Holiday"" reason, this re-entry happened due to the chart rule change that allowed both of these songs to chart again.",https://web.archive.org/web/20221206022145/https://slate.com/culture/2019/12/mariah-carey-christmas-number-1-billboard-hot-100.html
The Christmas Song (Merry Christmas To You) | Nat King Cole,The Christmas Song (Merry Christmas To You),"Nat ""King"" Cole",1962-12-26,2014-01-01,2014,10s,65,5,3,18634,2662,612.0,51.0,Yes,Rule change,Christmas,"Even though this song, just like ""All I Want for Christmas Is You"" seems like the best fit for the ""Holiday"" reason, this re-entry happened due to the chart rule change that allowed both of these songs to chart again.",
Jingle Bell Rock | Bobby Helms,Jingle Bell Rock,Bobby Helms,1962-12-26,2016-01-06,2016,10s,56,15,4,19369,2767,636.0,53.0,Yes,Rule change,Christmas,The rule change that allowed older songs to re-enter.,
White Christmas (1947) | Bing Crosby With Ken Darby Singers & John Scott Trotter & His Orchestra,White Christmas (1947),Bing Crosby With Ken Darby Singers & John Scott Trotter & His Orchestra,1962-12-26,2018-12-26,2018,10s,38,13,3,20454,2922,672.0,56.0,Yes,Rule change,Christmas,,
Run Rudolph Run | Chuck Berry,Run Rudolph Run,Chuck Berry,1958-12-24,2019-01-02,2019,10s,69,3,3,21924,3132,720.0,60.0,Yes,Rule change,Christmas,,
It's Beginning To Look A Lot Like Christmas | Michael Buble,It's Beginning To Look A Lot Like Christmas,Michael Buble,2011-12-14,2020-12-09,2020,20s,96,1,1,3283,469,107.0,8.0,Yes,Rule change,Christmas,,
Please Come Home For Christmas | Eagles,Please Come Home For Christmas,Eagles,1979-01-24,2020-12-30,2020,20s,51,8,8,15316,2188,503.0,41.0,Yes,Rule change,Christmas,,
